Companies,Salaries,Ratings,Job_descriptions,Cities,States
Audley Travel ,$88k-$100k(Glassdoor Est.),4.4,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
Applause ,$99k-$140k(Glassdoor Est.),4.2,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Framingham, MA
Quantlab ,$105k-$167k(Glassdoor Est.),4.2,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
Attivio ,$165k-$229k(Glassdoor Est.),4.5,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
ENGIE Insight ,$106k-$153k(Glassdoor Est.),3.0,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
Kensho ,$118k-$169k(Glassdoor Est.),5.0,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Cambridge, MA
Press Ganey ,$75k-$113k(Glassdoor Est.),4.1,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
Amazon ,$113k-$161k(Glassdoor Est.),3.8,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Cambridge, MA
McKinsey & Company ,$117k-$174k(Glassdoor Est.),4.3,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
MapR ,$100k-$141k(Glassdoor Est.),3.4,"About the role:

Audley Travel is now seeking a Data Engineer to play a pivotal role in our Digital Analytics team. In this role you will be responsible for the creation and management of Client & Marketing data sets across the Audley journey, further enabling advanced data science and analytics. You will collaborate closely with our Digital Marketing Analysts, Data Scientist and Marketing channel owners to scope, build and visualize extensible data sets to better our client communication strategies.

Basic Qualifications:

Exceptional problem solving skills
Strong attention to detail and managing deadlines
Bachelor’s degree in computer science or related field
Strong understanding of relational database systems (both row & column oriented)
Experience with several AWS features

Preferred Qualifications:

Experience creating data models and data city planning
Experience migrating data infrastructure and workflows into the cloud
Solid knowledge of software development methodologies (such as Agile)

What’s in it for you:

As a data engineer you will be a crucial piece of a brand new client acquisition strategy. You will have the ability to work with key stakeholders and the freedom to think independently and be creative in your efforts. In addition, we offer a comprehensive benefits package where we cover 100% of the cost of Medical, dental and vision and match your 401k contribution! We find though that the real benefit to a career at Audley turns out to be the people.

About Audley Travel US Inc.:

Audley connects discerning travelers to a more rewarding travel experience in nearly 80 destinations around the world. Each of our Country Specialists has first-hand knowledge of the best guides, food, lodging, and local secrets in a specific region of the world, having lived or traveled there extensively. This allows them to tailor each journey to a client’s individual travel style and interests. The local knowledge and personalized service creates a streamlined and stress free planning experience.

Our carefully curated experiences, candid advice and level of service including personalized travel packs go above and beyond client expectations

Audley Travel Group is an Equal Employment Opportunity/Affirmative Action employer. We are committed to the policy of providing equal employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity, veteran status, disability or national origin.

This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.
Start your job application: click Apply Now", Boston, MA
