Companies,Salaries,Ratings,Job_descriptions,Cities,States
AmerisourceBergen ,$105k-$119k(Glassdoor Est.),3.0,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Chesterbrook, PA
Berkley ,$113k-$168k(Glassdoor Est.),3.0,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Wilmington, DE
Ally Financial ,$92k-$142k(Glassdoor Est.),3.3,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Fort Washington, PA
XL Group ,$95k-$142k(Glassdoor Est.),3.5,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Exton, PA
Kulicke and Soffa ,$100k-$146k(Glassdoor Est.),4.5,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Fort Washington, PA
Cerner ,$107k-$150k(Glassdoor Est.),3.5,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Malvern, PA
AstraZeneca ,$114k-$169k(Glassdoor Est.),3.8,"Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes
Individuals in this role understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a solid understanding of logical data warehousing design principles and data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets.
PRIMARY DUTIES AND RESPONSIBILITIES:
Reporting to the Manager, Data Governance- this role will lead in planning and implementing data catalog and data quality software that will support the business need for insights using enterprise transactional data. This role also ensures adherence to enterprise standards and technology initiatives, and the IT governance processes.
Works on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead.
Works on projects that may span a broad range of technologies.
Expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.
Participates in project planning processes.
Identifies project tasks and leads or assists with project timeline estimations.
Works with other team members and business stakeholders to drive development of business analytics requirements.
Leverages understanding of business data domain and detailed knowledge of underlying data sources.
Translates business analytics needs into semantic data access requirements.
Creates a framework for representing the data elements including the entities, relationships and attributes.
Recognizes and resolves conflicts between models, ensuring that data models are consistent with the enterprise model (e.g. entity names, relationships and definitions).
Supports the effort for high level modeling of key program processes and key data entities.
Ensures integration of the project logical data model into the enterprise conceptual data model.
Ensures that physical models align with the logical data model.
Reviews and approves the logical data models.
Ensures consistent and stable delta processing for data loads
Works with Delivery Management team to understand potential impacts to physical/virtual infrastructure and assists with remediation planning
Develops technical design of complex data sourcing, transformation and aggregation logic.
Works with Information Delivery team to determine data sourcing options and recommend implementation approach.
Leverages enterprise standard tools and platforms to develop data transformation and aggregation logic, typically working with and/or leading a small team.
Ensures consistent and stable delta processing for data loads.
Works with others to determine analytics data consumption alternatives and recommend optimal approach based on analytics requirements.
Verifies that data access mechanisms satisfy analytics consumption needs (may include testing various approaches).
Transfers knowledge of data access/consumption mechanisms to business stakeholders, data visualization specialists and/or data scientists.
Defines, documents, and maintains all data definitions, data sources, business meaning and usage of information.
Researches internal and external data sources for new data and better sources of data feeds.
Identifies and validates opportunities to share/reuse existing data/information.
Promotes the principles of data resource management and data sharing, reuse of databases and single source data strategy.
Consulted in requests for specialized master data.
Leverages master data as needed by business processes.
Supports activities to prepare existing metadata for mapping and loading into metadata repository.
Consults Delivery Management team on batch/bulk data load scheduling to optimize performance
Works with stakeholders to gather requirements on merging, de-duping, cleansing rules.
Ensures that data is clean, consistent, and synchronized across platforms.
Oversees the design and implementation of data cleansing procedures.
Leads the identification of areas affecting data integrity and coordinates corrective actions.
Develops solutions and recommendations for improving data integrity issues.
Analyzes data issues and works with development teams for problem resolutions.
Identifies problematic areas and conducts research to determine the best course of action to correct the data, identify, analyze and interpret trends and patterns in complex datasets.
May provide technical direction and oversee testing of business analytics solutions.
May provide technical leadership for the definition and development of test plans and system documentation.
Conducts unit testing to ensure business analytics solutions meet user specifications.
Assigned performance tickets and may proactively analyze existing data platform to identify weaknesses and develop opportunities for improvements, upgrades or replacement.
Provides technical leadership, coaching and mentoring to team members.
Provides technical guidance or system process expertise.
Develops reports and presentations for senior management, as needed.
Bachelors degree in Programming/Systems or Computer Science or other related field. Or equivalent work experience.
5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc.
Has a broad level of understanding surrounding information systems and application architecture standards.
Experience in leading small project teams and streams.
Demonstrated ability to analyze and interpret complex problems or processes that span multiple business areas, identify and understand requirements, and develop alternate solutions.
Experience designing, developing and testing applications using proven or emerging technologies in a variety of technologies and environments.
Apply Now: click Apply Now", Wilmington, DE
