Companies,Salaries,Ratings,Job_descriptions,Cities,States
Radiant Solutions ,$106k-$159k(Glassdoor Est.),4.6,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Herndon, VA
Johns Hopkins University Applied Physics Laboratory ,$100k-$160k(Employer Est.),4.6,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Laurel, MD
CIA ,$101k-$152k(Glassdoor Est.),3.8,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Washington, DC
Clarabridge ,$101k-$142k(Glassdoor Est.),3.3,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Reston, VA
Excella Consulting ,$100k-$151k(Glassdoor Est.),3.8,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Washington, DC
Amazon ,$111k-$157k(Glassdoor Est.),3.8,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Herndon, VA
MITRE ,$104k-$156k(Glassdoor Est.),3.2,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", McLean, VA
Radiant Solutions ,$121k-$182k(Glassdoor Est.),4.6,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Herndon, VA
World Bank ,$84k-$130k(Glassdoor Est.),3.8,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Washington, DC
Kingfisher Systems ,$84k-$128k(Glassdoor Est.),4.3,"POSITION: Data Scientist

LOCATION: Reston, VA

CLEARANCE: Active TOP SECRET with Sensitive Compartmented Information (SCI) access

Description

You will develop and operationalize innovative Big Data software solutions in direct support of an unconventional warfare client. You will perform as a data scientist, helping the team on a distributed scalable Big Data store, including Apache Accumulo, Apache Hadoop, MapReduce programming and technologies, and real-time data processing with Apache Spark.

You will participate in the development of machine learning, data mining, and statistical or graph-based algorithms designed to fuse and analyze massive data sets. Use expertise to ensure the proper implementation and usage of employed algorithms and bring in cutting-edge innovations from industry and academia. Leverage knowledge of requirements analysis, installation, integration, evaluation, enhancement, maintenance, testing, and diagnosis or resolution. Conduct software development, software integration, statistical analysis, modeling, and simulation all in a rapid DevOps environment. Sync across functional teams, ensuring data science is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new data science capabilities through existing toolsets.

Basic Qualifications
3+ years of experience with high-level languages, including Java
2+ years of experience with distributed scalable Big Data storage, including Accumulo, Cloudbase, HBase, or Bigtable
Experience in MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores
Experience with a real-time, large-scale data processing engine, including Apache Spark
Experience with using Agile software development methods in a DevOps environment
Experience with developing solutions and integrating and extending free and Open-source software (FOSS) or COTS products
Ability to exhibit flexibility, initiative, and innovation when dealing with ambiguous and fast-paced situations
BA or BS degree
Additional Qualifications
Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and comprehension of the data and tools associated with these disciplines
Experience with intelligence or operations analysis in the DoD or intelligence community
Experience with deploying applications in a Cloud environment
Experience with designing and developing automated analytic software, techniques, and algorithms
Experience with open source software, including GeoWave and MapReduce Geo (MrGEO)
Security+ or CISSP and DoD 8570 Compliance Certifications
Start your job application: click Easy Apply", Springfield, VA
