Companies,Salaries,Ratings,Job_descriptions,Cities,States
Simple ,$95k-$135k(Glassdoor Est.),2.7,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
comScore ,$85k-$121k(Glassdoor Est.),3.0,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
First Tech Federal Credit Union ,$93k-$138k(Glassdoor Est.),3.5,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Hillsboro, OR
ProKarma ,$112k-$164k(Glassdoor Est.),3.5,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
Cloudability ,$123k-$173k(Glassdoor Est.),4.4,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
Standard Insurance Company ,$87k-$127k(Glassdoor Est.),3.7,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
Slalom LLC. ,$120k-$175k(Glassdoor Est.),4.4,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
Nike ,$126k-$185k(Glassdoor Est.),3.9,"The Company:

We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.

The Team

Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.

You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.

About You:

You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.

What You'll Do All Day

As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:
Developing and maintaining statistical models that automate decisions about fraud and other customer risk
Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product
Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences)
Identifying and championing opportunities to use data to create customer value and reduce cost for Simple
Presenting on findings and takeaways across the company, to everyone from executives to peers
Acting as a data thought leader for the company and providing technical mentorship to analytics teammates
We'd Like To See:
5+ years experience in analytics, data science, statistics, economics, or related field
Experience with risk or other financial modeling a plus
Well-versed in SQL (or related database language) and in Python, R or other statistical packages
Strong knowledge of statistics and predictive analytics
Demonstrated experience developing data models that inform business decisions
Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners
Ability to thrive in a dynamic environment and drive change
Details:

We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!

Why Simple's a Great Place to Work:
Based in Portland, Oregon-- a beautiful place to live and work.
Competitive salary and benefits package.
A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office.
Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other.
We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.

A background check will be required for this opportunity.

Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination.
Start your job application: click Apply Now", Portland, OR
