Companies,Salaries,Ratings,Job_descriptions,Cities,States
Postmates Inc. ,$102k-$142k(Glassdoor Est.),3.1,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Bellevue, WA
Expedia ,$108k-$149k(Glassdoor Est.),3.8,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Bellevue, WA
EagleView Technologies ,$87k-$122k(Glassdoor Est.),3.0,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Bellevue, WA
"ExtraHop Networks, Inc. ",$83k-$116k(Glassdoor Est.),4.0,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Seattle, WA
TIBCO Software ,$121k-$168k(Glassdoor Est.),3.6,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Seattle, WA
Amazon ,$129k-$182k(Glassdoor Est.),3.8,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Seattle, WA
Boston Consulting Group ,$130k-$187k(Glassdoor Est.),4.3,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Seattle, WA
Puget Sound Energy ,$126k-$173k(Glassdoor Est.),3.2,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Bellevue, WA
"ExtraHop Networks, Inc. ",$65k-$93k(Glassdoor Est.),4.0,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Seattle, WA
Versive ,$122k-$169k(Glassdoor Est.),3.9,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle
To apply to this job, click Apply Now", Seattle, WA
